title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files,ad_id
Vauxhall Astra 1.4i  16V  Breeze  5dr,500,,93477,Manual,Petrol,Hatchback,1.4,5.0,Richhill,2023-02-15 19:28:50.323884,usedcarsni.com/2005-Vauxhall-Astra-1-4i-16V-Breeze-5dr-294875820?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,294875820
Toyota Hilux,600,,0,,,,0.0,0.0,Armagh and banbridge,2023-02-15 19:28:50.325384,usedcarsni.com/Toyota-Hilux-311659738?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,311659738
BMW 3 Series 318i  Edition  SE  4dr,1095,,54000,Manual,Petrol,Saloon,2.0,4.0,Kesh,2023-02-15 19:28:50.326385,usedcarsni.com/2008-BMW-3-Series-318i-Edition-SE-4dr-314883886?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314883886
Vauxhall Agila 1.2i  16V  Design  [80]  5dr,1200,,73600,Manual,Petrol,MPV,1.2,5.0,Armagh,2023-02-15 19:28:50.327884,usedcarsni.com/2005-Vauxhall-Agila-1-2i-16V-Design-80-5dr-315077497?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315077497
Toyota Hilux,1234,,0,,,,0.0,0.0,Armagh and banbridge,2023-02-15 19:28:50.328884,usedcarsni.com/2020-Toyota-Hilux-314326567?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314326567
Ford Focus 1.6  TDCi  LX  5dr,1295,,139000,Manual,Diesel,Hatchback,1.6,0.0,Kesh,2023-02-15 19:28:50.329884,usedcarsni.com/2006-Ford-Focus-1-6-TDCi-LX-5dr-315085195?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315085195
Volkswagen Polo 1.9  E  SDI  64  3dr,1300,,170877,Manual,Diesel,Hatchback,1.9,3.0,Ballymoney,2023-02-15 19:28:50.331384,usedcarsni.com/2004-Volkswagen-Polo-1-9-E-SDI-64-3dr-314689137?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314689137
Seat Leon 2.0  16V  TDI  Sport  5dr,1300,,187000,Manual,Diesel,Hatchback,2.0,5.0,Cookstown,2023-02-15 19:28:50.332384,usedcarsni.com/2006-Seat-Leon-2-0-16V-TDI-Sport-5dr-315077684?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315077684
Citroen C4 Picasso 1.8i  16V  VTR  Plus  5dr  [5  Seat],1375,,143000,Manual,Petrol,MPV,1.8,5.0,Newtownabbey,2023-02-15 19:28:50.333884,usedcarsni.com/2007-Citroen-C4-Picasso-1-8i-16V-VTR-Plus-5dr-5-Seat-314891175?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314891175
Renault Clio 1.2  Authentique  5dr,1375,,100000,Manual,Petrol,Hatchback,1.1,0.0,Lisnaskea,2023-02-15 19:28:50.334884,usedcarsni.com/2003-Renault-Clio-1-2-Authentique-5dr-313569053?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,313569053
Toyota Hilux,1395,,0,,,,0.0,0.0,Armagh and banbridge,2023-02-15 19:28:50.335884,usedcarsni.com/2021-Toyota-Hilux-315086567?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315086567
Lexus IS-Series 220d  SE  4dr,1395,,155000,Manual,Diesel,Saloon,2.2,4.0,Belfast,2023-02-15 19:28:50.337384,usedcarsni.com/2008-Lexus-IS-Series-220d-SE-4dr-315132701?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315132701
Peugeot 407 2.0  HDi  136  SE  4dr,1400,,101000,Manual,Diesel,Saloon,2.0,4.0,Middletown,2023-02-15 19:28:50.338384,usedcarsni.com/2007-Peugeot-407-2-0-HDi-136-SE-4dr-314298415?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314298415
Jeep Grand Cherokee 3.0  CRD  5dr  Auto,1400,,158373,Automatic/Other,Diesel,Sport utility vehicle,3.0,5.0,Belfast,2023-02-15 19:28:50.339881,usedcarsni.com/2005-Jeep-Grand-Cherokee-3-0-CRD-5dr-Auto-314822877?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314822877
Citroen C4 Picasso 1.6HDi  16V  VTR  Plus  5dr  EGS  [5  Seat],1475,,167000,Automatic/Other,Diesel,MPV,1.6,5.0,County tyrone,2023-02-15 19:28:50.340884,usedcarsni.com/2010-Citroen-C4-Picasso-1-6HDi-16V-VTR-Plus-5dr-EGS-5-Seat-314961332?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314961332
Honda FR-V 2.0  i-VTEC  Sport  5dr,1495,,124000,Manual,Petrol,MPV,2.0,5.0,Ballyclare,2023-02-15 19:28:50.342384,usedcarsni.com/2006-Honda-FR-V-2-0-i-VTEC-Sport-5dr-313788380?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,313788380
