title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files,ad_id
Jeep Grand Cherokee 3.0  CRD  5dr  Auto,1400,,158373,Automatic/Other,Diesel,Sport utility vehicle,3.0,5.0,Belfast,2023-02-18 23:56:27.835424,usedcarsni.com/2005-Jeep-Grand-Cherokee-3-0-CRD-5dr-Auto-314822877?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,314822877
Honda FR-V 2.0  i-VTEC  Sport  5dr,1495,,124000,Manual,Petrol,MPV,2.0,5.0,Ballyclare,2023-02-18 23:56:27.837424,usedcarsni.com/2006-Honda-FR-V-2-0-i-VTEC-Sport-5dr-313788380?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,313788380
Volkswagen Jetta 1.9  S  TDI  PD  4dr,1495,,181000,Manual,Diesel,Saloon,1.9,4.0,County armagh,2023-02-18 23:56:27.838423,usedcarsni.com/2006-Volkswagen-Jetta-1-9-S-TDI-PD-4dr-315039767?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315039767
Volkswagen Polo 1.2  E  55  3dr,1495,,120000,Manual,Petrol,Hatchback,1.2,3.0,Strabane,2023-02-18 23:56:27.839922,usedcarsni.com/2005-Volkswagen-Polo-1-2-E-55-3dr-315254163?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,315254163
Jaguar XJ Series XJ8  3.5  V8  SE  4dr  Auto,1500,,0,Automatic,Petrol,Saloon,3.6,4.0,Ballyclare,2023-02-18 23:56:27.841425,usedcarsni.com/2003-Jaguar-XJ-Series-XJ8-3-5-V8-SE-4dr-Auto-312487866?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,,312487866
Vauxhall Zafira 1.6i  [115]  Design  5dr,1500,,141000,Manual,Petrol,MPV,1.6,5.0,Coleraine,2023-02-18 23:56:28.569424,usedcarsni.com/2009-Vauxhall-Zafira-1-6i-115-Design-5dr-315076087?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,315076087
Renault Clio 1.2  TCE  Expression  3dr,1550,,107000,Manual,Petrol,Hatchback,1.1,3.0,Enniskillen,2023-02-18 23:56:28.571424,usedcarsni.com/2008-Renault-Clio-1-2-TCE-Expression-3dr-313631597?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,313631597
Toyota Corolla Verso 2.2  D-4D  T180  5dr,1550,,110500,Manual,Diesel,MPV,2.2,5.0,Annalong,2023-02-18 23:56:28.572924,usedcarsni.com/2007-Toyota-Corolla-Verso-2-2-D-4D-T180-5dr-313661492?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,313661492
Vauxhall Vectra 1.9  CDTi  Exclusiv  [120]  5dr,1550,,119000,Manual,Diesel,Saloon,1.9,5.0,Enniskillen,2023-02-18 23:56:28.574925,usedcarsni.com/2006-Vauxhall-Vectra-1-9-CDTi-Exclusiv-120-5dr-314305315?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,314305315
Toyota Yaris 1.0  16v  VVTi  GS  3dr,1550,,56600,Manual,Petrol,Hatchback,1.0,3.0,Kilkeel,2023-02-18 23:56:28.576424,usedcarsni.com/1999-Toyota-Yaris-1-0-16v-VVTi-GS-3dr-314698553?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,314698553
Toyota Avensis 2.0  D-4D  T2  5dr,1575,,208000,Manual,Diesel,Estate,2.0,5.0,Armagh,2023-02-18 23:56:28.578424,usedcarsni.com/2009-Toyota-Avensis-2-0-D-4D-T2-5dr-314029884?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,314029884
Honda Civic 2.2  i-CTDi  SE  5dr,1650,,220000,Manual,Diesel,Hatchback,2.2,5.0,Coalisland,2023-02-18 23:56:28.580423,usedcarsni.com/2008-Honda-Civic-2-2-i-CTDi-SE-5dr-304766699?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,304766699
Vauxhall Insignia 2.0  CDTi  SRi  [160]  5dr,1650,,225000,Manual,Diesel,Hatchback,2.0,5.0,Derry,2023-02-18 23:56:28.581924,usedcarsni.com/2009-Vauxhall-Insignia-2-0-CDTi-SRi-160-5dr-314878193?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,314878193
Renault Grand Scenic 1.6  16v  VVT  Dynamique  TomTom  5dr,1650,,77000,Manual,Petrol,MPV,1.6,5.0,Enniskillen,2023-02-18 23:56:28.583924,usedcarsni.com/2010-Renault-Grand-Scenic-1-6-16v-VVT-Dynamique-TomTom-5dr-314988103?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,314988103
Citroen C1 1.0i  Rhythm  3dr,1650,,131000,Manual,Petrol,Hatchback,1.0,3.0,Newtownards,2023-02-18 23:56:28.585425,usedcarsni.com/2007-Citroen-C1-1-0i-Rhythm-3dr-315246553?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,315246553
Ford Focus 1.6  TDCi  115  Zetec  S  5dr,1650,,150000,Manual,Diesel,Hatchback,1.6,5.0,Ballyclare,2023-02-18 23:56:28.587424,usedcarsni.com/2012-Ford-Focus-1-6-TDCi-115-Zetec-S-5dr-315400021?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,315400021
