title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Honda FR-V 2.0  i-VTEC  Sport  5dr,1495,,124000,Manual,Petrol,MPV,2.0,5.0,Ballyclare,2023-02-19 00:11:40.792932,usedcarsni.com/2006-Honda-FR-V-2-0-i-VTEC-Sport-5dr-313788380?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Volkswagen Jetta 1.9  S  TDI  PD  4dr,1495,,181000,Manual,Diesel,Saloon,1.9,4.0,County armagh,2023-02-19 00:11:40.794431,usedcarsni.com/2006-Volkswagen-Jetta-1-9-S-TDI-PD-4dr-315039767?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Volkswagen Polo 1.2  E  55  3dr,1495,,120000,Manual,Petrol,Hatchback,1.2,3.0,Strabane,2023-02-19 00:11:40.796932,usedcarsni.com/2005-Volkswagen-Polo-1-2-E-55-3dr-315254163?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Jaguar XJ Series XJ8  3.5  V8  SE  4dr  Auto,1500,,0,Automatic,Petrol,Saloon,3.6,4.0,Ballyclare,2023-02-19 00:11:40.798931,usedcarsni.com/2003-Jaguar-XJ-Series-XJ8-3-5-V8-SE-4dr-Auto-312487866?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Zafira 1.6i  [115]  Design  5dr,1500,,141000,Manual,Petrol,MPV,1.6,5.0,Coleraine,2023-02-19 00:11:40.800432,usedcarsni.com/2009-Vauxhall-Zafira-1-6i-115-Design-5dr-315076087?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Toyota Corolla Verso 2.2  D-4D  T180  5dr,1550,,110500,Manual,Diesel,MPV,2.2,5.0,Annalong,2023-02-19 00:11:41.462432,usedcarsni.com/2007-Toyota-Corolla-Verso-2-2-D-4D-T180-5dr-313661492?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Toyota Yaris 1.0  16v  VVTi  GS  3dr,1550,,56600,Manual,Petrol,Hatchback,1.0,3.0,Kilkeel,2023-02-19 00:11:41.464931,usedcarsni.com/1999-Toyota-Yaris-1-0-16v-VVTi-GS-3dr-314698553?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Renault Clio 1.2  TCE  Expression  3dr,1550,,107000,Manual,Petrol,Hatchback,1.1,3.0,Enniskillen,2023-02-19 00:11:41.466431,usedcarsni.com/2008-Renault-Clio-1-2-TCE-Expression-3dr-313631597?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Vauxhall Vectra 1.9  CDTi  Exclusiv  [120]  5dr,1550,,119000,Manual,Diesel,Saloon,1.9,5.0,Enniskillen,2023-02-19 00:11:41.468431,usedcarsni.com/2006-Vauxhall-Vectra-1-9-CDTi-Exclusiv-120-5dr-314305315?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Toyota Avensis 2.0  D-4D  T2  5dr,1575,,208000,Manual,Diesel,Estate,2.0,5.0,Armagh,2023-02-19 00:11:41.469933,usedcarsni.com/2009-Toyota-Avensis-2-0-D-4D-T2-5dr-314029884?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
