title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Toyota Hilux,600,,0,,,,0,0,Armagh and banbridge,2023-01-01 07:54:33.430792,usedcarsni.com/Toyota-Hilux-311659738?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Suzuki Grand Vitara 1.9  DDiS  5dr,695,,116278,Manual,Diesel,Sport utility vehicle,1.9,5.0,Armagh and banbridge,2023-01-01 07:54:33.435291,usedcarsni.com/2009-Suzuki-Grand-Vitara-1-9-DDiS-5dr-312943896?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Agila 1.2i  16V  Design  [80]  5dr,900,,73595,Manual,Petrol,MPV,1.2,5.0,Armagh,2023-01-01 07:54:33.439793,usedcarsni.com/2005-Vauxhall-Agila-1-2i-16V-Design-80-5dr-312881497?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Mercedes A-Class A140  Classic  SE  5dr,950,,110000,Manual,Petrol,Hatchback,1.4,5.0,Armagh,2023-01-01 07:54:33.445293,usedcarsni.com/2003-Mercedes-A-Class-A140-Classic-SE-5dr-312881909?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
SAAB 9-3 1.9TiD  Linear  Sport  [120]  4dr,995,,103000,Manual,Diesel,Saloon,1.9,4.0,Newry,2023-01-01 07:54:33.449792,usedcarsni.com/2006-SAAB-9-3-1-9TiD-Linear-Sport-120-4dr-312012262?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Megane 1.6  VVT  Dynamique  5dr,1075,,101000,Manual,Petrol,Hatchback,1.6,5.0,Belfast,2023-01-01 07:54:33.456291,usedcarsni.com/2007-Renault-Megane-1-6-VVT-Dynamique-5dr-312934642?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Peugeot 307 2.0  2dr,1150,,55000,Manual,Petrol,Convertible,2.0,2.0,Belfast,2023-01-01 07:54:33.462792,usedcarsni.com/2004-Peugeot-307-2-0-2dr-312545875?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
MINI Hatch 1.6  Cooper  D  3dr,1195,,154000,Manual,Diesel,Hatchback,1.6,3.0,Lisnaskea,2023-01-01 07:54:33.469293,usedcarsni.com/2013-MINI-Hatch-1-6-Cooper-D-3dr-311932918?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Nissan Note 1.5  dCi  SE  5dr,1200,,87000,Manual,Diesel,MPV,1.5,5.0,Enniskillen,2023-01-01 07:54:33.474792,usedcarsni.com/2007-Nissan-Note-1-5-dCi-SE-5dr-312841035?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Nissan Note 1.4  S  5dr,1250,,59400,Manual,Petrol,Hatchback,1.4,5.0,Tempo,2023-01-01 07:54:33.483292,usedcarsni.com/2008-Nissan-Note-1-4-S-5dr-312427784?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Kangoo SL17dCi  70  Van,1250,,181000,MANUAL,Diesel,Car Derived Van,1.5,0,Cookstown,2023-01-01 07:54:33.490292,usedcarsni.com/2007-Renault-Kangoo-SL17dCi-70-Van-312545091?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Toyota Corolla 1.4  VVT-i  Colour  Collection  5dr,1450,,168225,Manual,Petrol,Hatchback,1.4,5.0,Belfast,2023-01-01 07:54:33.498292,usedcarsni.com/2005-Toyota-Corolla-1-4-VVT-i-Colour-Collection-5dr-312602062?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Suzuki Wagon R 1.3  VVT  16V  GL  5dr,1495,,100000,Manual,Petrol,Estate,1.3,5.0,Randalstown,2023-01-01 07:54:33.505291,usedcarsni.com/2005-Suzuki-Wagon-R-1-3-VVT-16V-GL-5dr-312005479?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Honda Civic 2.2  i-CTDi  SE  5dr,1499,,111000,Manual,Diesel,Hatchback,2.2,5.0,Ballymena,2023-01-01 07:54:33.513791,usedcarsni.com/2006-Honda-Civic-2-2-i-CTDi-SE-5dr-312935903?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Honda Legend 3.5i  VTEC  EX  4dr  Auto,1500,,110000,Automatic/Other,Petrol,Saloon,3.5,4.0,Newtownabbey,2023-01-01 07:54:33.522792,usedcarsni.com/2006-Honda-Legend-3-5i-VTEC-EX-4dr-Auto-312395613?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Jaguar X-Type 2.0d  S  4dr,1500,,155000,Manual,Diesel,Saloon,2.0,4.0,County down,2023-01-01 07:54:33.531791,usedcarsni.com/2007-Jaguar-X-Type-2-0d-S-4dr-312407414?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Jaguar XJ Series XJ8  3.5  V8  SE  4dr  Auto,1500,,0,Automatic,Petrol,Saloon,3.6,4.0,Ballyclare,2023-01-01 07:54:33.540292,usedcarsni.com/2003-Jaguar-XJ-Series-XJ8-3-5-V8-SE-4dr-Auto-312487866?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Honda Civic 2.2  i-CTDi  SE  5dr,1650,,220000,Manual,Diesel,Hatchback,2.2,5.0,Coalisland,2023-01-01 07:54:33.549292,usedcarsni.com/2008-Honda-Civic-2-2-i-CTDi-SE-5dr-304766699?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Daihatsu Sirion 1.0  S  5dr,1650,,105000,Manual,Petrol,Hatchback,1.0,5.0,Armagh,2023-01-01 07:54:33.556291,usedcarsni.com/2007-Daihatsu-Sirion-1-0-S-5dr-310951082?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Megane 1.6e  2dr,1750,,43000,Manual,Petrol,Convertible,1.6,2.0,Larne,2023-01-01 07:54:33.563792,usedcarsni.com/2001-Renault-Megane-1-6e-2dr-310831308?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Suzuki Swift 1.5  GLX  5dr,1750,,133000,Manual,Petrol,Hatchback,1.5,5.0,Ballyclare,2023-01-01 07:54:34.196792,usedcarsni.com/2006-Suzuki-Swift-1-5-GLX-5dr-312482788?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Honda Civic 2.2  i-CTDi  Sport  5dr,1795,,138000,Manual,Diesel,Hatchback,2.2,5.0,Belfast,2023-01-01 07:54:34.201292,usedcarsni.com/2006-Honda-Civic-2-2-i-CTDi-Sport-5dr-312553882?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Toyota Corolla 1.4  D-4D  T2  5dr,1850,,129328,Manual,DIESEL,Hatchback,1.4,5.0,Comber,2023-01-01 07:54:34.206793,usedcarsni.com/2006-Toyota-Corolla-1-4-D-4D-T2-5dr-311845442?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Renault Modus,1850,,93000,Manual,Petrol,MPV,1.4,5.0,Newtownabbey,2023-01-01 07:54:34.211791,usedcarsni.com/2007-Renault-Modus-312806560?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Ford Mondeo 1.8i  Verona  5dr,1895,,136395,Manual,Petrol,Saloon,1.8,5.0,Ballymena,2023-01-01 07:54:34.216792,usedcarsni.com/1999-Ford-Mondeo-1-8i-Verona-5dr-297996986?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Hyundai Matrix 1.6  GSi  5dr  Auto,1895,,91501,Automatic,PETROL,MPV,1.6,5.0,Bangor,2023-01-01 07:54:34.221291,usedcarsni.com/2008-Hyundai-Matrix-1-6-GSi-5dr-Auto-311959583?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Chevrolet Aveo 1.2  LS  5dr,1950,,109304,Manual,Petrol,Hatchback,1.2,5.0,Coleraine,2023-01-01 07:54:34.227291,usedcarsni.com/2009-Chevrolet-Aveo-1-2-LS-5dr-311319392?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Skoda Fabia 1.2  12V  2  5dr,1950,,103000,Manual,Petrol,Hatchback,1.2,5.0,Magherafelt,2023-01-01 07:54:34.232291,usedcarsni.com/2007-Skoda-Fabia-1-2-12V-2-5dr-312555887?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Vauxhall Insignia 2.0  CDTi  Exclusiv  [160]  5dr,1950,,100000,Manual,Diesel,Hatchback,2.0,5.0,Armagh,2023-01-01 07:54:34.238291,usedcarsni.com/2011-Vauxhall-Insignia-2-0-CDTi-Exclusiv-160-5dr-312841014?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Audi A3 2.0  TDi  S  line  5dr,1950,,169000,Manual,Diesel,Hatchback,2.0,5.0,Ballyclare,2023-01-01 07:54:34.244291,usedcarsni.com/2006-Audi-A3-2-0-TDi-S-line-5dr-312884425?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Volkswagen Beetle 2.0  3dr,1975,,113500,Manual 5 speed,Petrol,Hatchback,2.0,3.0,Newtownabbey,2023-01-01 07:54:34.270792,usedcarsni.com/2003-Volkswagen-Beetle-2-0-3dr-309670779?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Renault Clio 1.2  16V  TomTom  3dr,1975,,70000,Manual,Petrol,Hatchback,1.1,3.0,Strabane,2023-01-01 07:54:34.277792,usedcarsni.com/2008-Renault-Clio-1-2-16V-TomTom-3dr-311488188?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Peugeot 107 1.0  Urban  5dr,1975,,116814,Manual 5 speed,Petrol,Hatchback,1.0,5.0,Dungannon,2023-01-01 07:54:34.283291,usedcarsni.com/2009-Peugeot-107-1-0-Urban-5dr-311586588?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Vauxhall Insignia 2.0  CDTi  Exclusiv  5dr,1975,,138000,Manual,Diesel,Hatchback,2.0,5.0,County antrim,2023-01-01 07:54:34.288792,usedcarsni.com/2011-Vauxhall-Insignia-2-0-CDTi-Exclusiv-5dr-312931051?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Ford Focus 2.0  TDCi  CC-2  2dr,1990,,0,,95000 Miles,Manual,0,0,2 door,2023-01-01 07:54:34.295791,usedcarsni.com/2008-Ford-Focus-2-0-TDCi-CC-2-2dr-311532743?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Citroen C3 1.1i  Desire  5dr,1995,,65000,Manual,Petrol,Hatchback,1.1,5.0,Coleraine,2023-01-01 07:54:34.301793,usedcarsni.com/2007-Citroen-C3-1-1i-Desire-5dr-306812501?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Ford Fusion 1.4  Style  5dr,1995,,90000,Manual,Petrol,Hatchback,1.4,5.0,Armagh,2023-01-01 07:54:34.309791,usedcarsni.com/2007-Ford-Fusion-1-4-Style-5dr-310843739?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Toyota Auris 1.6  VVTi  T3  5dr,1995,,129000,Manual,Petrol,Hatchback,1.6,5.0,Ballymoney,2023-01-01 07:54:34.321291,usedcarsni.com/2009-Toyota-Auris-1-6-VVTi-T3-5dr-311796892?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Ford Galaxy 1.8  TDCi  Zetec  5dr  [6],1995,,140156,Manual,Diesel,MPV,1.8,5.0,Ballymena,2023-01-01 07:54:34.329291,usedcarsni.com/2007-Ford-Galaxy-1-8-TDCi-Zetec-5dr-6-311948373?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Vauxhall Corsa 1.4i  16V  Design  5dr,1995,,112000,Manual,Petrol,Hatchback,1.4,5.0,Randalstown,2023-01-01 07:54:34.338792,usedcarsni.com/2008-Vauxhall-Corsa-1-4i-16V-Design-5dr-312005501?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Ford Focus 1.6  TDCi  115  Zetec  5dr,2495,,140000,Manual,Diesel,Hatchback,1.6,5.0,Richill,2023-01-01 07:54:34.943292,usedcarsni.com/2011-Ford-Focus-1-6-TDCi-115-Zetec-5dr-307965554?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Seat Exeo 2.0  TDI  CR  SE  Tech  4dr  [143],2495,,210000,Manual,Diesel,Saloon,2.0,4.0,Ballyclare,2023-01-01 07:54:34.948292,usedcarsni.com/2010-Seat-Exeo-2-0-TDI-CR-SE-Tech-4dr-143-309792082?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
