title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Vauxhall Corsa 1.0i  12V  Club  3dr,795,,79000,Manual,Petrol,Hatchback,1.0,3.0,Crumlin,2022-10-06 22:13:06.186948,usedcarsni.com/2001-Vauxhall-Corsa-1-0i-12V-Club-3dr-308264171?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
MINI Hatch 1.4  One  3dr,800,,87300,Manual,Petrol,Hatchback,1.4,3.0,Whitehead,2022-10-06 22:13:06.189947,usedcarsni.com/2007-MINI-Hatch-1-4-One-3dr-308670590?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Corsa 1.2i  16V  Club  3dr,895,,119000,Manual,Petrol,Hatchback,1.2,3.0,Armagh,2022-10-06 22:13:06.192947,usedcarsni.com/2007-Vauxhall-Corsa-1-2i-16V-Club-3dr-308563105?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
SAAB 9-3 1.9TiD  Vector  Sport  Anniversary  [150]  4dr,995,,174906,Manual,Diesel,Saloon,1.9,4.0,Newtownards,2022-10-06 22:13:06.195948,usedcarsni.com/2007-SAAB-9-3-1-9TiD-Vector-Sport-Anniversary-150-4dr-305679261?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Astra 1.6i  16V  Club  [115]  5dr,995,,172000,Manual,Petrol,Hatchback,1.6,5.0,Enniskillen,2022-10-06 22:13:06.198947,usedcarsni.com/2007-Vauxhall-Astra-1-6i-16V-Club-115-5dr-308517591?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Mercedes C-Class C220  CDI  Sport  3dr,1150,,180000,Manual,Diesel,Coupe,2.1,3.0,Newry,2022-10-06 22:13:06.202449,usedcarsni.com/2005-Mercedes-C-Class-C220-CDI-Sport-3dr-308605105?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Hyundai Tucson 2.0  GSI  5dr  2WD,1200,,158000,Manual,Petrol,Sport utility vehicle,2.0,5.0,Craigavon,2022-10-06 22:13:06.206448,usedcarsni.com/2006-Hyundai-Tucson-2-0-GSI-5dr-2WD-308176430?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Ford Fiesta 1.25  Zetec  3dr  [Climate],1200,,102860,Manual,Petrol,Hatchback,1.2,3.0,Bangor,2022-10-06 22:13:06.209447,usedcarsni.com/2007-Ford-Fiesta-1-25-Zetec-3dr-Climate-308502776?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Seat Leon 1.6  TDI  SE  5dr  [Technology  Pack],1234,,86000,Manual,Diesel,Hatchback,1.6,5.0,Ballymena,2022-10-06 22:13:06.212448,usedcarsni.com/2015-Seat-Leon-1-6-TDI-SE-5dr-Technology-Pack-306670611?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Astra 1.6i  16V  SXi  [115]  5dr,1250,,106000,Manual,Petrol,Hatchback,1.6,5.0,County derry / londonderry,2022-10-06 22:13:06.215948,usedcarsni.com/2009-Vauxhall-Astra-1-6i-16V-SXi-115-5dr-308503700?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Volvo V50 2.0D  R  DESIGN  5dr  Powershift,1250,,177000,Automatic/Other,Diesel,Estate,2.0,5.0,Derry,2022-10-06 22:13:06.219449,usedcarsni.com/2009-Volvo-V50-2-0D-R-DESIGN-5dr-Powershift-308564433?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Hyundai Getz 1.1  GSI  3dr,1295,,67000,Manual,Petrol,Hatchback,1.1,3.0,Kilrea,2022-10-06 22:13:06.222947,usedcarsni.com/2004-Hyundai-Getz-1-1-GSI-3dr-308556179?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Peugeot 207 1.4  VTi  S  [95]  5dr  [AC],1300,,88900,Manual,Petrol,Hatchback,1.4,5.0,Magherafelt,2022-10-06 22:13:06.225948,usedcarsni.com/2008-Peugeot-207-1-4-VTi-S-95-5dr-AC-308109330?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Kia Rio 1.4  Strike  5dr,1300,,82220,Manual,Petrol,Hatchback,1.4,5.0,Ballynahinch,2022-10-06 22:13:06.228949,usedcarsni.com/2009-Kia-Rio-1-4-Strike-5dr-308521664?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Toyota Yaris 1.0  VVT-i  Blue  5dr,1300,,140000,Manual,Petrol,Hatchback,1.0,5.0,Holywood,2022-10-06 22:13:06.231950,usedcarsni.com/2004-Toyota-Yaris-1-0-VVT-i-Blue-5dr-308523865?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Volkswagen Golf 1.9  SE  TDI  5dr,1350,,170000,Manual,Diesel,Hatchback,1.9,5.0,Newry,2022-10-06 22:13:06.234947,usedcarsni.com/2006-Volkswagen-Golf-1-9-SE-TDI-5dr-308178215?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Clio 1.5  dCi  86  I-Music  5dr,1400,,115000,Manual,Diesel,Hatchback,1.5,5.0,Dungannon,2022-10-06 22:13:06.237949,usedcarsni.com/2010-Renault-Clio-1-5-dCi-86-I-Music-5dr-308566186?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Citroen C4 1.6i  16V  VTR  3dr,1450,,77000,Manual,Petrol,Hatchback,1.6,3.0,Londonderry,2022-10-06 22:13:06.240948,usedcarsni.com/2005-Citroen-C4-1-6i-16V-VTR-3dr-308559588?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Seat Ibiza 1.9  TDi  Sportrider  3dr,1475,,147000,Manual,Diesel,Hatchback,1.9,3.0,Enniskillen,2022-10-06 22:13:06.243947,usedcarsni.com/2008-Seat-Ibiza-1-9-TDi-Sportrider-3dr-308098408?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Citroen C4 1.6i  16V  SX  5dr,1495,,85000,Manual,Petrol,Hatchback,1.6,5.0,Magherafelt,2022-10-06 22:13:06.246947,usedcarsni.com/2008-Citroen-C4-1-6i-16V-SX-5dr-305084574?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Ford Fiesta 1.25  Style  5dr  [Climate],1495,,89000,Manual,Petrol,Hatchback,1.2,5.0,Richill,2022-10-06 22:13:06.869195,usedcarsni.com/2008-Ford-Fiesta-1-25-Style-5dr-Climate-307965972?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Jaguar X-Type 2.0d  S  4dr,1495,,127500,Manual,Diesel,Saloon,2.0,4.0,County antrim,2022-10-06 22:13:06.872695,usedcarsni.com/2005-Jaguar-X-Type-2-0d-S-4dr-308149543?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Volkswagen Beetle TDI,1495,,160000,Manual,Diesel,Saloon,1.6,3.0,Culmore,2022-10-06 22:13:06.875694,usedcarsni.com/2006-Volkswagen-Beetle-TDI-308447915?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
