title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Toyota Hilux,600,,0,,,,0,0,Armagh and banbridge,2022-12-25 21:42:41.832340,usedcarsni.com/Toyota-Hilux-311659738?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Clio 1.2  16V  Campus  Sport  3dr,950,,99126,Manual,Petrol,Hatchback,1.1,3.0,Belfast,2022-12-25 21:42:41.836340,usedcarsni.com/2006-Renault-Clio-1-2-16V-Campus-Sport-3dr-312402080?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Zafira 1.6i  Exclusiv  5dr,950,,140464,Manual 5 speed,Petrol,MPV,1.6,5.0,Ballyclare,2022-12-25 21:42:41.839839,usedcarsni.com/2009-Vauxhall-Zafira-1-6i-Exclusiv-5dr-312549724?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
SAAB 9-3 1.9TiD  Linear  Sport  [120]  4dr,1050,,103000,Manual,Diesel,Saloon,1.9,4.0,Newry,2022-12-25 21:42:41.843838,usedcarsni.com/2006-SAAB-9-3-1-9TiD-Linear-Sport-120-4dr-312012262?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Land Rover Defender 3.0  D250  XS  Edition  110  5dr  Auto  [7  Seat],1111,,300,Automatic,Diesel,Sport utility vehicle,3.0,5.0,Coleraine,2022-12-25 21:42:41.847340,usedcarsni.com/2022-Land-Rover-Defender-3-0-D250-XS-Edition-110-5dr-Auto-7-Seat-309724694?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Peugeot 307 2.0  2dr,1150,,55000,Manual,Petrol,Convertible,2.0,2.0,Belfast,2022-12-25 21:42:41.850838,usedcarsni.com/2004-Peugeot-307-2-0-2dr-312545875?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
MINI Hatch 1.6  Cooper  D  3dr,1195,,154000,Manual,Diesel,Hatchback,1.6,3.0,Lisnaskea,2022-12-25 21:42:41.854841,usedcarsni.com/2013-MINI-Hatch-1-6-Cooper-D-3dr-311932918?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Nissan Note 1.4  S  5dr,1250,,59400,Manual,Petrol,Hatchback,1.4,5.0,Tempo,2022-12-25 21:42:41.858839,usedcarsni.com/2008-Nissan-Note-1-4-S-5dr-312427784?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Kangoo SL17dCi  70  Van,1250,,181000,MANUAL,Diesel,Car Derived Van,1.5,0,Cookstown,2022-12-25 21:42:41.862340,usedcarsni.com/2007-Renault-Kangoo-SL17dCi-70-Van-312545091?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Ford Focus 1.6  Zetec  5dr  [Climate  Pack],1399,,144162,Manual,Petrol,Hatchback,1.6,5.0,Bangor,2022-12-25 21:42:41.865839,usedcarsni.com/2008-Ford-Focus-1-6-Zetec-5dr-Climate-Pack-312483432?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
