title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Toyota Hilux,600,,0,,,,0,0,Armagh and banbridge,2023-01-08 19:50:44.915928,usedcarsni.com/Toyota-Hilux-311659738?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Mercedes A-Class A140  Classic  SE  5dr,895,,110000,Manual,Petrol,Hatchback,1.4,5.0,Armagh,2023-01-08 19:50:44.920431,usedcarsni.com/2003-Mercedes-A-Class-A140-Classic-SE-5dr-312881909?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Toyota Avensis 2.0  D-4D  TR  5dr,995,,196000,Manual,Diesel,Hatchback,2.0,5.0,Enniskillen,2023-01-08 19:50:44.924930,usedcarsni.com/2008-Toyota-Avensis-2-0-D-4D-TR-5dr-311945116?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
MINI Hatch 1.6  Cooper  D  3dr,1195,,154000,Manual,Diesel,Hatchback,1.6,3.0,Lisnaskea,2023-01-08 19:50:44.931432,usedcarsni.com/2013-MINI-Hatch-1-6-Cooper-D-3dr-311932918?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Nissan Note 1.5  dCi  SE  5dr,1200,,87000,Manual,Diesel,MPV,1.5,5.0,Enniskillen,2023-01-08 19:50:44.935929,usedcarsni.com/2007-Nissan-Note-1-5-dCi-SE-5dr-312841035?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Astra 1.4i  16V  Life  5dr,1295,,101000,Manual,Petrol,Estate,1.4,5.0,Private,2023-01-08 19:50:44.940430,usedcarsni.com/2008-Vauxhall-Astra-1-4i-16V-Life-5dr-313077746?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
BMW 3 Series 323i  SE  4dr  Auto,1295,,122843,Automatic,Petrol,Saloon,2.5,4.0,County antrim,2023-01-08 19:50:44.946428,usedcarsni.com/1999-BMW-3-Series-323i-SE-4dr-Auto-313334834?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Honda CR-V 2.2  i-CTDi  ES  5dr,1300,,142500,Manual,Diesel,Sport utility vehicle,2.2,5.0,Ballymena,2023-01-08 19:50:44.950428,usedcarsni.com/2008-Honda-CR-V-2-2-i-CTDi-ES-5dr-313129451?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Mercedes E-Class E240  Avantgarde  4dr  Tip  Auto  [2.6],1400,,115923,Automatic/Other,Petrol,Saloon,2.6,4.0,Bellanaleck enniskillen,2023-01-08 19:50:44.954930,usedcarsni.com/2005-Mercedes-E-Class-E240-Avantgarde-4dr-Tip-Auto-2-6-312988229?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Toyota Yaris 1.3  VVT-i  Blue  3dr,1400,,81000,Manual,Petrol,Hatchback,1.3,3.0,Ballynahinch,2023-01-08 19:50:44.958932,usedcarsni.com/2004-Toyota-Yaris-1-3-VVT-i-Blue-3dr-313237380?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Agila 1.2i  16V  Design  [80]  5dr,1450,,73595,Manual,Petrol,MPV,1.2,5.0,Armagh,2023-01-08 19:50:44.964929,usedcarsni.com/2005-Vauxhall-Agila-1-2i-16V-Design-80-5dr-312881497?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Ford Fiesta 1.25  Style  5dr,1495,,105600,Manual,Petrol,Hatchback,1.2,5.0,Armagh,2023-01-08 19:50:44.968931,usedcarsni.com/2008-Ford-Fiesta-1-25-Style-5dr-313335322?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Ford Focus 1.6  LX  5dr,1500,,122000,Manual,Petrol,Hatchback,1.6,5.0,Portglenone,2023-01-08 19:50:44.973930,usedcarsni.com/2007-Ford-Focus-1-6-LX-5dr-313111938?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Toyota Corolla Verso 1.6  VVT-i  T2  5dr,1500,,98000,Manual,Petrol,MPV,1.6,5.0,Banbridge,2023-01-08 19:50:44.979429,usedcarsni.com/2005-Toyota-Corolla-Verso-1-6-VVT-i-T2-5dr-313114237?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
