title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Toyota Hilux,600,,0,,,,0,0,Armagh and banbridge,2022-12-23 23:13:33.998441,usedcarsni.com/Toyota-Hilux-311659738?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Clio 1.2  16V  Campus  Sport  3dr,950,,99126,Manual,Petrol,Hatchback,1.1,3.0,Belfast,2022-12-23 23:13:34.001942,usedcarsni.com/2006-Renault-Clio-1-2-16V-Campus-Sport-3dr-312402080?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Zafira 1.6i  Exclusiv  5dr,950,,140464,Manual 5 speed,Petrol,MPV,1.6,5.0,Ballyclare,2022-12-23 23:13:34.005944,usedcarsni.com/2009-Vauxhall-Zafira-1-6i-Exclusiv-5dr-312549724?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
SAAB 9-3 1.9TiD  Linear  Sport  [120]  4dr,1050,,103000,Manual,Diesel,Saloon,1.9,4.0,Newry,2022-12-23 23:13:34.009442,usedcarsni.com/2006-SAAB-9-3-1-9TiD-Linear-Sport-120-4dr-312012262?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Peugeot 307 2.0  2dr,1150,,55000,Manual,Petrol,Convertible,2.0,2.0,Belfast,2022-12-23 23:13:34.013442,usedcarsni.com/2004-Peugeot-307-2-0-2dr-312545875?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
MINI Hatch 1.6  Cooper  D  3dr,1195,,154000,Manual,Diesel,Hatchback,1.6,3.0,Lisnaskea,2022-12-23 23:13:34.016944,usedcarsni.com/2013-MINI-Hatch-1-6-Cooper-D-3dr-311932918?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Nissan Note 1.4  S  5dr,1250,,59400,Manual,Petrol,Hatchback,1.4,5.0,Tempo,2022-12-23 23:13:34.020943,usedcarsni.com/2008-Nissan-Note-1-4-S-5dr-312427784?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Renault Kangoo SL17dCi  70  Van,1250,,181000,MANUAL,Diesel,Car Derived Van,1.5,0,Cookstown,2022-12-23 23:13:34.024942,usedcarsni.com/2007-Renault-Kangoo-SL17dCi-70-Van-312545091?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Ford Focus 1.6  Zetec  5dr  [Climate  Pack],1399,,144162,Manual,Petrol,Hatchback,1.6,5.0,Bangor,2022-12-23 23:13:34.027942,usedcarsni.com/2008-Ford-Focus-1-6-Zetec-5dr-Climate-Pack-312483432?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Ford Focus 1.6  Zetec  5dr  [Climate  Pack],1450,,125000,Manual,Petrol,Hatchback,1.6,5.0,Portadown,2022-12-23 23:13:34.031943,usedcarsni.com/2008-Ford-Focus-1-6-Zetec-5dr-Climate-Pack-312595697?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
