title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Suzuki Alto 1.0  SZ  5dr,1350,,120000,Manual,Petrol,Hatchback,1.0,5.0,Derry,2022-10-08 20:51:07.096093,usedcarsni.com/2012-Suzuki-Alto-1-0-SZ-5dr-308747542?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Vauxhall Agila 1.2  16V  Club  5dr,1350,,88600,Manual,Petrol,Hatchback,1.2,5.0,Ballymoney,2022-10-08 20:51:07.102091,usedcarsni.com/2009-Vauxhall-Agila-1-2-16V-Club-5dr-308808299?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Peugeot 207 1.4  HDi  S  5dr  [AC],1400,,121200,Manual,Diesel,Hatchback,1.4,5.0,Strabane,2022-10-08 20:51:07.108091,usedcarsni.com/2009-Peugeot-207-1-4-HDi-S-5dr-AC-308762764?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Citroen C4 1.6i  16V  VTR  3dr,1450,,77000,Manual,Petrol,Hatchback,1.6,3.0,Londonderry,2022-10-08 20:51:07.116094,usedcarsni.com/2005-Citroen-C4-1-6i-16V-VTR-3dr-308559588?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Citroen C4 1.6i  16V  SX  5dr,1495,,85000,Manual,Petrol,Hatchback,1.6,5.0,Magherafelt,2022-10-08 20:51:07.123093,usedcarsni.com/2008-Citroen-C4-1-6i-16V-SX-5dr-305084574?search_type=1&make=0&fuel_type=0&age_from=0&price_from=0&user_type=0&trans_type=0&age_to=0&price_to=0&mileage_to=0&keywords=&distance_enabled=0&distance_postcode=&body_style=0,
Ford Fiesta 1.25  Style  5dr  [Climate],1495,,89000,Manual,Petrol,Hatchback,1.2,5.0,Richill,2022-10-08 20:51:07.721592,usedcarsni.com/2008-Ford-Fiesta-1-25-Style-5dr-Climate-307965972?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Citroen C3 1.1i  Cool  5dr,1495,,93000,Manual,Petrol,Hatchback,1.1,5.0,Belfast,2022-10-08 20:51:07.726593,usedcarsni.com/2008-Citroen-C3-1-1i-Cool-5dr-308520095?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Toyota Celica 1.8  VVTi  3dr,1495,,129000,Manual,Petrol,Coupe,1.8,3.0,Kilrea,2022-10-08 20:51:07.731592,usedcarsni.com/2004-Toyota-Celica-1-8-VVTi-3dr-308745549?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Vauxhall Corsa 1.2i  16V  SXi  3dr,1499,,82737,Manual,Petrol,Hatchback,1.2,3.0,Comber,2022-10-08 20:51:07.739593,usedcarsni.com/2009-Vauxhall-Corsa-1-2i-16V-SXi-3dr-308498803?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Toyota Corolla 1.4  VVT-i  Colour  Collection  5dr,1500,,105224,Manual,Petrol,Hatchback,1.4,5.0,Newry,2022-10-08 20:51:07.745092,usedcarsni.com/2006-Toyota-Corolla-1-4-VVT-i-Colour-Collection-5dr-308178329?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Renault Clio 1.2  Campus  2007  3dr,1500,,86000,Manual,Petrol,Hatchback,1.1,3.0,Newtownabbey,2022-10-08 20:51:07.751092,usedcarsni.com/2007-Renault-Clio-1-2-Campus-2007-3dr-308502675?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Audi A2 1.4  TDI  SE  5dr,1550,,180500,Manual,Diesel,Hatchback,1.4,5.0,Ballymoney,2022-10-08 20:51:07.756091,usedcarsni.com/2004-Audi-A2-1-4-TDI-SE-5dr-308750929?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Toyota Aygo 1.0  VVT-i  Black  3dr,1575,,102000,Manual,Petrol,Hatchback,1.0,3.0,Warrenpoint,2022-10-08 20:51:07.762592,usedcarsni.com/2007-Toyota-Aygo-1-0-VVT-i-Black-3dr-308670342?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Hyundai Amica 1.1  Atlantic  5dr,1595,,72770,Manual,Petrol,Hatchback,1.1,5.0,County down,2022-10-08 20:51:07.769091,usedcarsni.com/2007-Hyundai-Amica-1-1-Atlantic-5dr-308388438?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
MINI Hatch 1.6  One  3dr,1595,,91000,Manual,Petrol,Hatchback,1.6,3.0,Holywood,2022-10-08 20:51:07.774591,usedcarsni.com/2005-MINI-Hatch-1-6-One-3dr-308448817?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Volkswagen Golf 1.9  S  TDI  5dr,1595,,157000,Manual,Diesel,Hatchback,1.9,5.0,Belfast,2022-10-08 20:51:07.780090,usedcarsni.com/2004-Volkswagen-Golf-1-9-S-TDI-5dr-308516392?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Renault Clio 1.2  TCE  Dynamique  SX  3dr,1600,,113000,Manual,Petrol,Hatchback,1.1,3.0,Limavady,2022-10-08 20:51:07.788091,usedcarsni.com/2008-Renault-Clio-1-2-TCE-Dynamique-SX-3dr-308340553?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Citroen C5 2.0  HDI  16V  VTR+  4dr,1600,,130772,Manual,Diesel,Saloon,2.0,4.0,Ballymoney,2022-10-08 20:51:07.793591,usedcarsni.com/2008-Citroen-C5-2-0-HDI-16V-VTR-4dr-308445667?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Honda Civic 2.2  i-CTDi  SE  5dr,1650,,220000,Manual,Diesel,Hatchback,2.2,5.0,Coalisland,2022-10-08 20:51:07.799592,usedcarsni.com/2008-Honda-Civic-2-2-i-CTDi-SE-5dr-304766699?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
